Institution,Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,availableYear,EndYear
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it50c-20121011,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,geoloc_69_70_91_92_110_111_128-20130201,0,0,0,0,0,0,0,0,1,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it73c-20161216,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,geoloc_128_187_195-20120101,0,0,0,0,0,0,0,0,1,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it51c-20121116,0,0,0,0,0,0,0,0,1,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,long_flows_D1_2_days-anonymized-20090605,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_history_it57w-20131127,0,0,0,0,0,0,0,0,2,1,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_hitlist_it44w-20111102,0,0,0,0,0,0,1,1,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_hitlist_it68w-20160121,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
"Merit Network, Inc.",BGP Data,0,0,0,1,0,5,1,1,0,0,1,1,2008,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a19g-20150101,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
University of Southern California-Information Sciences Institute,internet_address_census_it31w-20100208,0,0,0,0,0,2,1,2,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it50c-20120926,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
Indiana University,Certificates Data,0,0,0,0,0,0,0,0,0,0,0,2,2016,2020
University of Southern California-Information Sciences Institute,Root_DNS_Event-20151130,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
University of Southern California-Information Sciences Institute,UniformAttack_Traces_Generated20070821-20041202,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
Packet Clearing House,Skaion 2006 IARPA Dataset,0,0,0,0,0,4,11,12,11,10,5,4,2011,2020
University of Southern California-Information Sciences Institute,usc_lander_ongoing_tracing_scrambled-20050501,0,0,0,0,0,0,0,0,0,0,0,0,2007,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a24g-20160401,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
"Merit Network, Inc.",Network Scanners ,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a7j-20130212,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_hitlist_it39w-20110220,0,0,0,0,0,0,0,1,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,attack-servpath-tcpsyn-20061106,0,0,2,2,0,0,0,0,0,0,0,0,2009,2020
University of Southern California-Information Sciences Institute,internet_address_history_it71w-20160803,0,0,0,0,0,0,0,0,0,0,0,1,2016,NULL
University of Southern California-Information Sciences Institute,internet_address_census_it70w-20160602,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a15j-20131126,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,usc_lander_tcp_syns-20081010,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it33w-20100514,0,0,0,0,0,2,1,2,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_standing_c-20091102,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it63j-20150117,0,0,0,0,0,0,0,0,0,1,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_address_census_it48j-20120615,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,DoS_DNS_amplification-20130617,0,0,0,0,0,0,0,0,7,5,1,5,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it55j-20130820,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it62w-20141105,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a26w-20161001,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,DITL_B_Root-20150413,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a25all-20160701,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a19j-20150101,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
"Merit Network, Inc.",bgp-dumps,0,0,0,0,0,0,0,0,0,0,0,0,2005,2010
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a17c-20140701,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_address_hitlist_it51w-20121116,0,0,0,0,0,0,0,1,0,1,0,0,2013,2020
University of Southern California-Information Sciences Institute,geoloc_84_98_118-20120101,0,0,0,0,0,0,0,0,1,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_survey_it16w-20070214,0,0,0,0,0,1,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it51w-20121116,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it35c-20100818,0,0,0,0,0,2,1,1,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it74w-20170222,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_address_census_it74j-20170222,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
International Computer Science Institute (ICSI),Netalyzr,0,0,0,0,0,0,0,0,0,0,0,0,2014,2015
Packet Clearing House,nota.woodynet.pch.net,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a12c-20130424,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Michigan,ims-mydoom_backdoor,1,0,2,2,0,4,2,1,0,0,0,0,2005,2020
University of Southern California-Information Sciences Institute,passive_active-20060919,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a20w-20150401,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
University of Southern California-Information Sciences Institute,internet_address_census_it52w-20130102,0,0,0,0,0,0,0,2,1,1,0,0,2013,2020
University of Michigan,ims-tcp42_wins,1,0,2,2,0,4,2,1,0,0,0,0,2005,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it65w-20150622,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
Colorado State University,IPReputationList,0,0,0,0,0,0,1,0,1,0,1,0,2012,2020
UCSD - Center for Applied Internet Data Analysis,ITDK 2016-03,0,0,0,0,0,0,0,0,0,0,0,0,2017,NULL
Test Data Provider 3,Test Dataset 3 - Quasi-Restricted Commercial,0,0,0,0,0,0,0,0,0,0,0,0,2015,NULL
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it61c-20140918,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_icmp2-20031008,0,0,0,0,0,1,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it64w-20150413,0,0,0,0,0,0,0,0,0,4,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a27all-20170101,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a15c-20131126,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
Colorado State University,FRGP_SSDP_Reflection_DDoS_Attack_Traffic-20140930,0,0,0,0,0,0,0,0,0,3,4,3,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it25w-20090319,0,0,0,0,0,0,0,0,0,1,0,0,2012,2020
UCSD - Center for Applied Internet Data Analysis,ITDK 2013-07,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_survey_it20e-20080317,0,0,0,1,0,1,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_hitlist_it53w-20130222,0,0,0,0,0,0,0,1,0,1,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it71w-20160803,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
University of Southern California-Information Sciences Institute,internet_address_census_it61w-20140829,0,0,0,0,0,0,0,0,0,1,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_census_it30c-20091223,0,0,0,0,0,2,1,1,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it63c-20150206,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it37c-20101209,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it61j-20140829,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it50j-20121027,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a7w-20130212,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_it19e-20071218,0,0,0,0,0,1,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it70c-20160617,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
University of Southern California-Information Sciences Institute,internet_address_census_it44w-20111102,0,0,0,0,0,0,1,1,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it43j-20110913,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it74g-20170222,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,DITL_B_Root-20130528,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_outage_survey_it50j-20121027,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it58c-20140213,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_census_it66j-20150911,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_address_census_it57w-20131127,0,0,0,0,0,0,0,0,3,1,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_census_it53j-20130222,0,0,0,0,0,0,0,0,1,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a23j-20160101,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
University of Southern California-Information Sciences Institute,internet_address_survey_it28c-20090914,0,0,0,0,0,1,0,0,0,0,0,0,2012,2020
"Merit Network, Inc.",Darknet 14/8,0,0,0,0,0,0,0,0,1,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a25c-20160701,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a16all-20140407,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_outage_survey_it30w-20091223,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a22j-20151001,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it56w-20130917,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it59c-20140425,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_census_it59c-20140410,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_it12e-20060413,0,0,0,0,0,1,0,0,0,0,0,0,2012,2020
UCSD - Center for Applied Internet Data Analysis,ITDK 2010-04,0,0,0,0,0,0,0,0,0,1,0,0,2012,2020
Packet Clearing House,NCCDC 2012,0,0,0,0,0,0,0,1,10,10,1,0,2013,2023
"Merit Network, Inc.",SSDP DDoS attack 2015,0,0,0,0,0,0,0,0,0,0,9,5,2016,2017
University of Southern California-Information Sciences Institute,internet_address_census_it33c-20100514,0,0,0,0,0,2,1,1,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,Bottleneck_traces-20041202,0,0,0,2,0,2,1,1,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it56w-20130917,0,0,0,0,0,0,0,0,3,2,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_history_it59w-20140410,0,0,0,0,0,0,0,0,1,1,0,0,2014,2020
"Merit Network, Inc.",Darknet 177/8,0,0,0,0,0,0,0,0,2,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it60c-20140708,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
UCSD - Center for Applied Internet Data Analysis,CAIDA DDoS 2007 Attack Dataset,0,0,0,0,0,0,0,0,0,2,7,9,2007,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it52w-20130102,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it60j-20140619,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
UCSD - Center for Applied Internet Data Analysis,Backscatter-2008,0,0,0,0,0,0,0,0,2,0,8,3,2013,2020
University of Southern California-Information Sciences Institute,internet_address_survey_it23c-20081125,0,0,0,0,0,1,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_it20w-20080229,0,0,1,1,0,1,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it66g-20150911,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a7all-20130212,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it54c-20130524,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it68c-20160121,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
University of Southern California-Information Sciences Institute,classify_internet_address_blocks-20080912,0,0,0,3,1,1,0,0,0,0,0,0,2013,2020
University of Wisconsin,DSHIELD Logs,0,0,0,0,0,0,0,0,0,0,0,0,2012,2017
UCSD - Center for Applied Internet Data Analysis,UCSD Real-time Network Telescope Data,0,0,0,0,0,0,7,5,3,0,6,5,2012,2020
University of Southern California-Information Sciences Institute,internet_address_hitlist_it31w-20100602,0,0,0,0,0,0,0,1,0,1,0,0,2012,2020
"Merit Network, Inc.",BGP_route_hijack_2016,0,0,0,0,0,0,0,0,0,0,0,1,2016,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it12w-20060425,0,0,0,0,0,0,0,0,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it60w-20140619,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a17j-20140701,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
Packet Clearing House,PCH - BGP Outage Data,0,0,0,0,0,0,0,0,2,3,2,1,2012,2021
University of Southern California-Information Sciences Institute,survey_validation_tcpvsicmp-20071009,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
"Merit Network, Inc.",Darknet 1/8,0,0,0,0,0,0,0,0,1,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it64c-20150428,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it29w-20091103,0,0,0,0,0,0,0,0,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it54j-20130618,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
"Merit Network, Inc.",Darknet 181/8,0,0,0,0,0,0,0,0,1,0,0,0,2012,2020
Test Data Provider 2,Test Dataset 2 - Quasi-Restricted Commercial,0,0,0,0,0,0,0,0,0,0,0,0,2015,NULL
University of Southern California-Information Sciences Institute,internet_address_census_it42w-20110726,0,0,0,0,0,0,1,1,0,1,0,0,2012,2020
Test Data Provider 1,Test Dataset 1 - Quasi-Restricted Non-Commercial,0,0,0,0,0,0,0,0,0,0,0,0,2015,NULL
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it48j-20120717,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,DITL_B_Root-20140428,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a25g-20160701,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
Test Data Provider 1,Test Dataset 1 - Quasi-Restricted Commercial,0,0,0,0,0,0,0,0,0,0,0,0,2015,NULL
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it60j-20140723,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
Packet Clearing House,hkix.woodynet.pch.net,0,0,0,0,0,1,0,0,2,1,0,0,2005,2099
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it62g-20141210,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
UCSD - Center for Applied Internet Data Analysis,Patch Tuesday Dataset,0,0,0,0,0,0,0,0,0,0,3,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_survey_it13w-20060616,0,0,0,0,0,1,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it67w-20151202,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
University of Southern California-Information Sciences Institute,internet_address_census_it72w-20161003,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,DNS_Backscatter_M_Root_anon-20140216,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,geoloc_68_72_86_87_124_125-20120401,0,0,0,0,0,0,0,0,2,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_history_it47w-20120427,0,0,0,0,0,0,0,1,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it51j-20121116,0,0,0,0,0,0,0,0,1,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it45j-20120102,0,0,0,0,0,0,1,0,0,0,0,0,2012,2020
UCSD - Center for Applied Internet Data Analysis,Skitter Internet Topology Data Kits (ITDKs),0,0,0,0,1,4,0,0,0,0,0,0,2015,2020
"Merit Network, Inc.",Longitudinal Darknet 35/8,0,0,0,0,0,0,2,1,1,2,1,2,2016,2020
University of Southern California-Information Sciences Institute,p2p_detection-20061003,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it65g-20150622,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a21all-20150702,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
University of Southern California-Information Sciences Institute,internet_address_hitlist_it30w-20091223,0,0,0,0,1,0,0,1,0,1,0,0,2012,2020
UCSD - Center for Applied Internet Data Analysis,ITDK 2013-04,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it40w-20110406,0,0,0,0,0,0,0,1,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_it15e-20061108,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
UCSD - Center for Applied Internet Data Analysis,UCSD Industry Evaluation Near-Real Time Network Telescope Dataset,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a22g-20151001,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
University of Southern California-Information Sciences Institute,DoS_80_timeseries-20020629,0,0,1,1,5,10,4,2,5,2,2,2,2012,2020
University of Southern California-Information Sciences Institute,internet_address_history_standing_w-20110913,0,0,0,0,0,0,0,1,0,1,1,1,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it73j-20161216,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it64w-20150413,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
UCSD - Center for Applied Internet Data Analysis,IPv4 Routed /24 Topology Current,0,0,0,0,0,0,0,0,0,0,1,0,2016,2020
University of Southern California-Information Sciences Institute,internet_address_census_it69w-20160411,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it41w-20110520,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it47c-20120513,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a19all-20150101,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
University of Southern California-Information Sciences Institute,internet_address_census_it45w-20120102,0,0,0,0,0,0,1,1,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a23w-20160101,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
University of Southern California-Information Sciences Institute,internet_address_survey_it17e-20070529,0,0,0,0,0,1,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it29c-20091117,0,0,0,0,0,0,0,0,0,1,0,0,2012,2020
Packet Clearing House,FCC US ISP Broadband Performance Characterization,0,0,0,0,0,0,0,0,2,1,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it17w-20070601,0,0,1,0,0,0,0,0,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it73c-20170120,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
